articleCode,articleName,VendorKey,VendorName,categoryInit,categoryName,TypeInit,TypeName,startDate,expireDate,colourInit,colourName,sex,picture,basePrice,salePrice,notes
AGA-PI0068,SAVEDAL - NAVY BLUE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,28,NAVY BLUE,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0069,SWIZ - BLACK,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0070,SWIZ - WHITE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,37,WHITE,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0071,THREE ANGEL - MISTY GREY,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,26,MISTY GREY,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0072,TOSTERO - BLACK,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0073,TOSTERO - WHITE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,37,WHITE,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0074,TROPICAL - GREY,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,21,GREY,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0075,VARGAR - BLUE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,4,BLUE,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0076,VARGAR - WHITE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,37,WHITE,M,-,94500,135000,MASTERING OCTOBER 2016
ANT-PI0001,ANTI FLAG - BLACK,ANT,VIRIDIMIE,3,HAT,2,GENERAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,87500,125000,MASTERING OCTOBER 2016
ANT-PI0002,FUCK THE RACE - BLACK,ANT,VIRIDIMIE,3,HAT,2,GENERAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,87500,125000,MASTERING OCTOBER 2016
ANT-PI0003,ANTI CLASS - BLACK,ANT,VIRIDIMIE,10,SWEATER,4,ZIP HOOD,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,175000,250000,MASTERING OCTOBER 2016
ANT-PI0004,LOGO - BLACK,ANT,VIRIDIMIE,10,SWEATER,4,ZIP HOOD,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,175000,250000,MASTERING OCTOBER 2016
ANT-PI0005,AK47 - BLACK,ANT,VIRIDIMIE,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,87500,125000,MASTERING OCTOBER 2016
ANT-PI0006,FREE ROBOT - NAVY BLUE,ANT,VIRIDIMIE,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,28,NAVY BLUE,M,-,87500,125000,MASTERING OCTOBER 2016
ANT-PI0007,JUSTICE NOT FREE - BLACK,ANT,VIRIDIMIE,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,87500,125000,MASTERING OCTOBER 2016
ANT-PI0008,NOT ORIGINAL - BLACK,ANT,VIRIDIMIE,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,87500,125000,MASTERING OCTOBER 2016
ANT-PI0009,RED LOGO - BLACK,ANT,VIRIDIMIE,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,87500,125000,MASTERING OCTOBER 2016
ANT-PI0010,SKULL2 - BLACK,ANT,VIRIDIMIE,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,87500,125000,MASTERING OCTOBER 2016
ANT-PI0011,BLACK ON - BLACK,ANT,VIRIDIMIE,11,T-SHIRT,2,LONG SLEEVE,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,105000,150000,MASTERING OCTOBER 2016
AR.000-QG001,BASSENS WHITE,ANT,COOLROAM,9,SHOES,1,GENERAL,2017-07-29 00:00:00.000,2017-10-27 00:00:00.000,37,WHITE,M,,487500,650000,RECEIVE ORDER JULY 2017
AR.000-QG002,BASSENS BLACK ON WHITE,ANT,COOLROAM,9,SHOES,1,GENERAL,2017-07-29 00:00:00.000,2017-10-27 00:00:00.000,2,BLACK WHITE,M,,487500,650000,RECEIVE ORDER JULY 2017
AR.000-QG003,BASSENS BLACK NUBUCK,ANT,COOLROAM,9,SHOES,1,GENERAL,2017-07-29 00:00:00.000,2017-10-27 00:00:00.000,1,BLACK,M,,487500,650000,RECEIVE ORDER JULY 2017
AR.000-QG004,BASSENS TAN,ANT,COOLROAM,9,SHOES,1,GENERAL,2017-07-29 00:00:00.000,2017-10-27 00:00:00.000,0,NA,M,,487500,650000,RECEIVE ORDER JULY 2017
