articleCode,barcode,sizes,CurrentBasePrice,CurrentSalePrice,consignment,consignmentRp,qty,status
ESH.AR-QE0016,00ARQE0069,XL,94500,135000,0,40500,0,0
ESH.AR-QE0017,00ARQE0070,S,94500,135000,0,40500,0,0
ESH.AR-QE0017,00ARQE0071,M,94500,135000,0,40500,0,0
ESH.AR-QE0017,00ARQE0072,L,94500,135000,0,40500,0,0
ESH.AR-QE0017,00ARQE0073,XL,94500,135000,0,40500,0,0
ESH.AR-QE0018,00ARQE0074,S,94500,135000,0,40500,0,0
ESH.AR-QE0018,00ARQE0075,M,94500,135000,0,40500,0,0
ESH.AR-QE0018,00ARQE0076,L,94500,135000,0,40500,0,0
ESH.AR-QE0018,00ARQE0077,XL,94500,135000,0,40500,0,0
ESH.AR-QE0019,00ARQE0078,S,94500,135000,0,40500,0,0
ESH.AR-QE0019,00ARQE0079,M,94500,135000,0,40500,0,0
ESH.AR-QE0019,00ARQE0080,L,94500,135000,0,40500,0,0
ESH.AR-QE0019,00ARQE0081,XL,94500,135000,0,40500,0,0
ESH.AR-QE0020,00ARQE0082,S,94500,135000,0,40500,0,0
ESH.AR-QE0020,00ARQE0083,M,94500,135000,0,40500,0,0
ESH.AR-QE0020,00ARQE0084,L,94500,135000,0,40500,0,0
ESH.AR-QE0020,00ARQE0085,XL,94500,135000,0,40500,0,0
ESH.AR-QE0021,00ARQE0086,S,94500,135000,0,40500,0,0
ESH.AR-QE0021,00ARQE0087,M,94500,135000,0,40500,0,0
ESH.AR-QE0021,00ARQE0088,L,94500,135000,0,40500,0,0
ESH.AR-QE0021,00ARQE0089,XL,94500,135000,0,40500,0,0
ESH.AR-QE0022,00ARQE0090,S,94500,135000,0,40500,0,0
ESH.AR-QE0022,00ARQE0091,M,94500,135000,0,40500,0,0
ESH.AR-QE0022,00ARQE0092,L,94500,135000,0,40500,0,0
ESH.AR-QE0022,00ARQE0093,XL,94500,135000,0,40500,0,0
ESH.AR-QE0023,00ARQE0102,ALL,157500,225000,0,67500,0,0
ESH.AR-QE0024,00ARQE0103,ALL,98000,140000,0,42000,0,0
ESH.AR-QE0025,00ARQE0104,S,94500,135000,0,40500,0,0
ESH.AR-QE0025,00ARQE0105,M,94500,135000,0,40500,0,0
ESH.AR-QE0025,00ARQE0106,L,94500,135000,0,40500,0,0
ESH.AR-QE0025,00ARQE0107,XL,94500,135000,0,40500,0,0
ESH.AR-QE0026,00ARQE0108,S,94500,135000,0,40500,0,0
ESH.AR-QE0026,00ARQE0109,M,94500,135000,0,40500,0,0
ESH.AR-QE0026,00ARQE0110,L,94500,135000,0,40500,0,0
ESH.AR-QE0026,00ARQE0111,XL,94500,135000,0,40500,0,0
ESH.AR-QE0027,00ARQE0141,S,227500,325000,0,97500,0,0
ESH.AR-QE0027,00ARQE0142,M,227500,325000,0,97500,0,0
ESH.AR-QE0027,00ARQE0143,L,227500,325000,0,97500,0,0
ESH.AR-QE0027,00ARQE0144,XL,227500,325000,0,97500,0,0
ESH.AR-QE0028,00ARQE0145,S,227500,325000,0,97500,0,0
ESH.AR-QE0028,00ARQE0146,M,227500,325000,0,97500,0,0
ESH.AR-QE0028,00ARQE0147,L,227500,325000,0,97500,0,0
ESH.AR-QE0028,00ARQE0148,XL,227500,325000,0,97500,0,0
ESH.AR-QE0029,00ARQE0161,S,227500,325000,0,97500,0,0
ESH.AR-QE0029,00ARQE0162,M,227500,325000,0,97500,0,0
ESH.AR-QE0029,00ARQE0163,L,227500,325000,0,97500,0,0
ESH.AR-QE0029,00ARQE0164,XL,227500,325000,0,97500,0,0
ESH.AR-QE0030,00ARQE0165,S,94500,135000,0,40500,0,0
ESH.AR-QE0030,00ARQE0166,M,94500,135000,0,40500,0,0
ESH.AR-QE0030,00ARQE0167,L,94500,135000,0,40500,0,0
ESH.AR-QE0030,00ARQE0168,XL,94500,135000,0,40500,0,0
ESH.AR-QE0031,00ARQE0169,S,94500,135000,0,40500,0,0
ESH.AR-QE0031,00ARQE0170,M,94500,135000,0,40500,0,0
ESH.AR-QE0031,00ARQE0171,L,94500,135000,0,40500,0,0
ESH.AR-QE0031,00ARQE0172,XL,94500,135000,0,40500,0,0
ESH.AR-QF0001,00ARQF0021,S,94500,135000,0,40500,0,0
ESH.AR-QF0001,00ARQF0022,M,94500,135000,0,40500,0,0
ESH.AR-QF0001,00ARQF0023,L,94500,135000,0,40500,0,0
ESH.AR-QF0001,00ARQF0024,XL,94500,135000,0,40500,0,0
ESH.AR-QF0002,00ARQF0025,S,294000,420000,0,126000,0,0
ESH.AR-QF0002,00ARQF0026,M,294000,420000,0,126000,0,0
ESH.AR-QF0002,00ARQF0027,L,294000,420000,0,126000,0,0
ESH.AR-QF0002,00ARQF0028,XL,294000,420000,0,126000,0,0
ESH.AR-QF0003,00ARQF0033,S,227500,325000,0,97500,0,0
ESH.AR-QF0003,00ARQF0034,M,227500,325000,0,97500,0,0
ESH.AR-QF0003,00ARQF0035,L,227500,325000,0,97500,0,0
ESH.AR-QF0003,00ARQF0036,XL,227500,325000,0,97500,0,0
ESH.AR-QF0004,00ARQF0037,S,227500,325000,0,97500,0,0
ESH.AR-QF0004,00ARQF0038,M,227500,325000,0,97500,0,0
ESH.AR-QF0004,00ARQF0039,L,227500,325000,0,97500,0,0
ESH.AR-QF0004,00ARQF0040,XL,227500,325000,0,97500,0,0
ESH.AR-QF0005,00ARQF0091,28,245000,350000,0,105000,0,0
ESH.AR-QF0005,00ARQF0092,30,245000,350000,0,105000,0,0
ESH.AR-QF0005,00ARQF0093,32,245000,350000,0,105000,0,0
ESH.AR-QF0005,00ARQF0094,34,245000,350000,0,105000,0,0
ESH.AR-QF0005,00ARQF0095,36,245000,350000,0,105000,0,0
ESH.AR-QF0006,00ARQF0096,28,245000,350000,0,105000,0,0
ESH.AR-QF0006,00ARQF0097,30,245000,350000,0,105000,0,0
ESH.AR-QF0006,00ARQF0098,32,245000,350000,0,105000,0,0
ESH.AR-QF0006,00ARQF0099,34,245000,350000,0,105000,0,0
ESH.AR-QF0006,00ARQF0100,36,245000,350000,0,105000,0,0
ESH.AR-QF0007,00ARQF0101,S,94500,135000,0,40500,0,0
ESH.AR-QF0007,00ARQF0102,M,94500,135000,0,40500,0,0
ESH.AR-QF0007,00ARQF0103,L,94500,135000,0,40500,0,0
ESH.AR-QF0007,00ARQF0104,XL,94500,135000,0,40500,0,0
ESH.AR-QF0008,00ARQF0105,S,94500,135000,0,40500,0,0
ESH.AR-QF0008,00ARQF0106,M,94500,135000,0,40500,0,0
ESH.AR-QF0008,00ARQF0107,L,94500,135000,0,40500,0,0
ESH.AR-QF0008,00ARQF0108,XL,94500,135000,0,40500,0,0
ESH.AR-QG0001,00ARQG0069,S,220500,315000,0,94500,0,0
ESH.AR-QG0001,00ARQG0070,M,220500,315000,0,94500,0,0
ESH.AR-QG0001,00ARQG0071,L,220500,315000,0,94500,0,0
ESH.AR-QG0001,00ARQG0072,XL,220500,315000,0,94500,0,0
ESH.AR-QG0002,00ARQG0073,S,227500,325000,0,97500,0,0
ESH.AR-QG0002,00ARQG0074,M,227500,325000,0,97500,0,0
ESH.AR-QG0002,00ARQG0075,L,227500,325000,0,97500,0,0
ESH.AR-QG0002,00ARQG0076,XL,227500,325000,0,97500,0,0
ESH.AR-QG0003,00ARQG0077,S,227500,325000,0,97500,0,0
ESH.AR-QG0003,00ARQG0078,M,227500,325000,0,97500,0,0
ESH.AR-QG0003,00ARQG0079,L,227500,325000,0,97500,0,0
ESH.AR-QG0003,00ARQG0080,XL,227500,325000,0,97500,0,0
ESH.AR-QG0004,00ARQG0085,S,220500,315000,0,94500,0,0
ESH.AR-QG0004,00ARQG0086,M,220500,315000,0,94500,0,0
ESH.AR-QG0004,00ARQG0087,L,220500,315000,0,94500,0,0
ESH.AR-QG0004,00ARQG0088,XL,220500,315000,0,94500,0,0
ESH.AR-QG0005,00ARQG0096,ALL,143500,205000,0,61500,0,0
ESH.AR-QG0006,00ARQG0097,ALL,143500,205000,0,61500,0,0
ESH.AR-QG0007,00ARQG0098,ALL,143500,205000,0,61500,0,0
ESH.AR-QG0008,00ARQG0100,ALL,122500,175000,0,52500,0,0
ESH.AR-QG0009,00ARQG0118,S,94500,135000,0,40500,0,0
ESH.AR-QG0009,00ARQG0119,M,94500,135000,0,40500,0,0
ESH.AR-QG0009,00ARQG0120,L,94500,135000,0,40500,0,0
ESH.AR-QG0009,00ARQG0121,XL,94500,135000,0,40500,0,0
ESH.AR-QG0010,00ARQG0122,S,94500,135000,0,40500,0,0
ESH.AR-QG0010,00ARQG0123,M,94500,135000,0,40500,0,0
ESH.AR-QG0010,00ARQG0124,L,94500,135000,0,40500,0,0
ESH.AR-QG0010,00ARQG0125,XL,94500,135000,0,40500,0,0
ESH.AR-QG0011,00ARQG0126,S,94500,135000,0,40500,0,0
ESH.AR-QG0011,00ARQG0127,M,94500,135000,0,40500,0,0
ESH.AR-QG0011,00ARQG0128,L,94500,135000,0,40500,0,0
ESH.AR-QG0011,00ARQG0129,XL,94500,135000,0,40500,0,0
ESH.AR-QG0012,00ARQG0130,S,94500,135000,0,40500,0,0
ESH.AR-QG0012,00ARQG0131,M,94500,135000,0,40500,0,0
