noTrans,ArticleCode,Barcode,sizes,qty,basePrice,salePrice,DiscountType,discountPersen,discountRupiah,DiscExpenses,consignment,consignmentRp,subTotal,payment
01SCS19E290022,BSC.AR-SD0040,00ARSD0217,L,1,44500,159000,0,0,0,0,0,31800,159000,127200
01SCS19E290023,AR.CPT-SD008,20ARSD0441,S,1,204750,315000,2,0,63000,1,0,63000,252000,189000
01SCS19E290023,AR.PCT-SE017,20ARSE0682,M,1,87750,135000,2,0,27000,1,0,27000,108000,81000
01SCS19E290024,AR.ESB-SB001,20ARSB0021,M,1,204750,315000,2,0,63000,1,0,63000,252000,189000
01SCS19E290025,AR.SMD-SB001,20ARSB0192,M,1,211250,325000,2,0,65000,1,0,65000,260000,195000
01SCS19E290026,ESH.AR-SA0012,00ARSA0093,S,1,44000,135000,0,0,0,0,0,27000,135000,108000
01SCS19E290027,ESH.AR-SE0030,00ARSE0267,S,1,125000,315000,0,0,0,0,0,63000,315000,252000
01SCS19E290028,AR.MKV-SE020,20ARSE0608,S,1,97500,150000,0,0,0,0,0,52500,150000,97500
01SCS19E290029,AR.TUC-SD004,20ARSD0155,XL,1,204750,315000,2,0,63000,1,0,63000,252000,189000
01SCS19E290030,AR.MKV-SE015,20ARSE0592,M,1,22750,350000,0,0,0,0,0,122500,350000,227500
01SCS19E290031,AR.MDS-RL007,20ARRL0380,XL,1,130000,200000,2,0,40000,1,0,40000,160000,120000
01SCS19E290031,BSC.AR-SE0046,00ARSE0400,L,1,44500,159000,0,0,0,0,0,31800,159000,127200
01SCS19E290032,AR.CLK-RH001,20ARRH0736,ALL,1,91000,140000,2,0,28000,1,0,28000,112000,84000
01SCS19E290032,AR.CLK-RH002,20ARRH0737,ALL,1,91000,140000,2,0,28000,1,0,28000,112000,84000
01SCS19E290032,AR.MKV-SA007,20ARSA0202,34,1,243750,375000,0,0,0,0,0,131250,375000,243750
01SCS19E290032,BSC.AR-SE0038,00ARSE0350,S,1,52000,155000,0,0,0,0,0,31000,155000,124000
01SCS19E290032,DKS.AR-SE0002,00ARSE0136,34,1,417272,696000,0,0,0,0,0,104400,696000,591600
01SCS19E290032,ESH.AR-RH0015,00ARRH0088,M,1,43000,135000,0,0,0,0,0,27000,135000,108000
01SCS19E290032,ESH.AR-SA0016,00ARSA0115,NON,1,55000,150000,0,0,0,0,0,30000,150000,120000
01SCS19E290033,AR.SMD-SD013,20ARSD0570,M,1,87750,135000,2,0,27000,1,0,27000,108000,81000
01SCS19E290034,AR.CPT-SE001,20ARSE0355,XL,1,94250,145000,2,0,29000,1,0,29000,116000,87000
01SCS19E290034,AR.MKV-RL007,20ARRL0453,L,1,107250,165000,0,0,0,0,0,57750,165000,107250
01SCS19E290035,ESH.AR-SA0015,00ARSA0110,M,1,122500,350000,0,0,0,0,0,70000,350000,280000
01SCS19E290036,BSC.AR-SE0037,00ARSE0347,M,1,44000,159000,0,0,0,0,0,31800,159000,127200
01SCS19E290037,AR.TUC-SD004,20ARSD0153,M,1,204750,315000,2,0,63000,1,0,63000,252000,189000
01SCS19E290038,ESH.AR-SD0039,00ARSD0347,S,1,122500,350000,0,0,0,0,0,70000,350000,280000
01SCS19E290039,AR.ESB-SE005,20ARSE0254,S,1,94250,145000,2,0,29000,1,0,29000,116000,87000
01SCS19E290039,BSC.AR-SE0011,00ARSE0097,S,1,44500,159000,0,0,0,0,0,31800,159000,127200
01SCS19E290040,AR.STY-SE009,20ARSE0127,ALL,1,55250,85000,2,0,17000,1,0,17000,68000,51000
01SCS19E290040,AR.STY-SE011,20ARSE0577,ALL,1,55250,85000,2,0,17000,1,0,17000,68000,51000
01SCS19E290041,BSC.AR-SC0028,00ARSC0195,S,1,125000,315000,0,0,0,0,0,63000,315000,252000
01SCS19E290042,ESH.AR-SC0021,00ARSC0157,S,1,44000,135000,0,0,0,0,0,27000,135000,108000
01SCS19E290043,BSC.AR-SB0004,00ARSB0048,M,1,44000,135000,0,0,0,0,0,27000,135000,108000
01SCS19E290044,AR.PUB-SE011,20ARSE0043,L,1,97500,150000,2,0,30000,1,0,30000,120000,90000
01SCS19E290045,AR.MKV-SE015,20ARSE0591,S,1,22750,350000,0,0,0,0,0,122500,350000,227500
01SCS19E290045,ARN.AR-RK0002,00ARRK0224,L,1,43000,140000,0,0,0,0,0,42000,140000,98000
01SCS19E290045,BSC.AR-SD0039,00ARSD0213,L,1,125000,315000,0,0,0,0,0,63000,315000,252000
01SCS19E290046,BSC.AR-SE0038,00ARSE0351,M,1,52000,155000,0,0,0,0,0,31000,155000,124000
01SCS19E290047,AR.YD-SB006,20ARSB0513,M,1,195000,300000,2,0,150000,1,0,37500,150000,112500
01SCS19E290048,BSC.AR-SE0046,00ARSE0400,L,1,44500,159000,0,0,0,0,0,31800,159000,127200
01SCS19E290049,AR.PUB-SE032,20ARSE0326,M,1,204750,315000,2,0,63000,1,0,63000,252000,189000
01SCS19E290050,ESH.AR-SB0032,00ARSB0210,L,1,125000,315000,0,0,0,0,0,63000,315000,252000
01SCS19E290051,AR.MKV-SB012,20ARSB0545,L,1,172250,265000,0,0,0,0,0,92750,265000,172250
01SCS19E290051,DKS.AR-SE0001,00ARSE0130,30,1,417272,696000,0,0,0,0,0,104400,696000,591600
01SCS19E290052,AR.MPR-SE014,20ARSE0190,M,1,237250,365000,2,0,73000,1,0,73000,292000,219000
01SCS19E290052,BSC.AR-SD0061,00ARSD0336,NON,1,45000,150000,0,0,0,0,0,30000,150000,120000
01SCS19E290053,AR.PUB-SC008,20ARSC0287,XL,1,97500,150000,2,0,30000,1,0,30000,120000,90000
01SCS19E290054,ESH.AR-RK0011,00ARRK0046,M,1,44500,135000,0,0,0,0,0,27000,135000,108000
01SCS19E290055,AR.PUB-SD031,20ARSD0213,28,1,211250,325000,2,0,65000,1,0,65000,260000,195000
01SCS19E290056,ESH.AR-SE0039,00ARSE0362,S,1,44000,135000,0,0,0,0,0,27000,135000,108000
01SCS19E290057,AR.VRS-SC001,20ARSC0165,XL,1,96850,149000,2,0,44700,1,0,26075,104300,78225
01SCS19E290058,AR.MKV-SE025,20ARSE0625,30,1,214500,330000,0,0,0,0,0,115500,330000,214500
01SCS19E290059,BSC.AR-RL0019,00ARRL0114,M,1,125000,315000,0,0,0,0,0,63000,315000,252000
01SCS19E290060,AR.MKV-RJ012,20ARRJ0195,ALL,1,97500,150000,0,0,0,0,0,52500,150000,97500
01SCS19E290061,AR.STY-SE009,20ARSE0127,ALL,1,55250,85000,2,0,17000,1,0,17000,68000,51000
01SCS19E290062,ESH.AR-SD0040,00ARSD0367,M,1,122500,350000,0,0,0,0,0,70000,350000,280000
01SCS19E290063,AR.CPT-SB001,20ARSB0082,S,1,204750,315000,2,0,63000,1,0,63000,252000,189000
01SCS19E290064,AR.MPR-SE028,20ARSE0231,M,1,230750,355000,2,0,71000,1,0,71000,284000,213000
01SCS19E290065,AR.STY-SA002,20ARSA0061,ALL,1,61750,95000,2,0,19000,1,0,19000,76000,57000
01SCS19E290066,BSC.AR-SB0014,00ARSB0111,M,1,44000,135000,0,0,0,0,0,27000,135000,108000
01SCS19E290067,AR.MKV-RJ028,20ARRJ0226,30,1,214500,330000,0,0,0,0,0,115500,330000,214500
01SCS19E290068,AR.REC-SD026,20ARSD0073,ALL,1,117000,180000,2,0,54000,1,0,31500,126000,94500
01SCS19E290069,ESH.AR-SD0024,00ARSD0259,M,1,44500,135000,0,0,0,0,0,27000,135000,108000
01SCS19E290070,ESH.AR-SD0006,00ARSD0053,S,1,44500,135000,0,0,0,0,0,27000,135000,108000
01SCS19E290071,ESH.AR-SB0006,00ARSB0024,M,1,44500,135000,0,0,0,0,0,27000,135000,108000
01SCS19E290072,ESH.AR-SD0039,00ARSD0348,M,1,122500,350000,0,0,0,0,0,70000,350000,280000
01SCS19E290073,ESH.AR-RK0014,00ARRK0187,S,1,112500,350000,0,0,0,0,0,70000,350000,280000
01SCS19E290074,AR.PUB-SE017,20ARSE0068,XL,1,159250,245000,2,0,49000,1,0,49000,196000,147000
01SCS19E290075,BSC.AR-SE0027,00ARSE0277,L,1,52000,155000,0,0,0,0,0,31000,155000,124000
01SCS19E290076,AR.CPT-RE009,20ARRE0701,S,1,204750,315000,2,0,63000,1,0,63000,252000,189000
01SCS19E290077,ESH.AR-SE0031,00ARSE0273,L,1,125000,315000,0,0,0,0,0,63000,315000,252000
01SCS19E290078,ESH.AR-SC0021,00ARSC0158,M,1,44000,135000,0,0,0,0,0,27000,135000,108000
01SCS19E290078,ESH.AR-SD0039,00ARSD0348,M,1,122500,350000,0,0,0,0,0,70000,350000,280000
01SCS19E290079,AR.ESB-RL010,20ARRL0461,ALL,1,91000,140000,2,0,70000,1,0,17500,70000,52500
